RT13V2 ID_number
RT13V3 respondent
RT13V4 wife
RT13V6 which_child
RT13V7 num_siblings_head
RT13V8 num_siblings_wife
RT13V9 num_children_records
RT13V10 num_parent_recs
RT13V11 father_status
RT13V12 mother_status
RT13V15 help_parents
RT13V16 hours_help_parents
RT13V17 completeness_hours
RT13V21 transfer_hdwf_parents
RT13V22 total_hdwf_parents
RT13V23 completeness_hdwf_parents
RT13V24 transfer_parents_hdwf
RT13V25 total_parents_hdwf
RT13V26 completeness_parents_hdwf
RT13V27 help_school_hdparents_hdwf
RT13V28 help_home_hdparents_hdwf
RT13V29 help_other_hdparents_hdwf
RT13V30 help_school_wfparents_hdwf
RT13V31 help_home_wfparents_hdwf
RT13V32 help_other_wfparents_hdwf
RT13V40 total_hdwf_children
RT13V41 completeness_hdwf_children
RT13V42 transfer_children_hdwf
RT13V43 total_children_hdwf
RT13V44 completeness_children_hdwf
RT13V46 school_hwdf_children
RT13V46 completeness_school_children
RT13V49 home_children_hdwf
RT13V49 completeness_home_children
RT13V52 other_hdwf_children
