"Family_ID","Survey_Year","ID_number","Race","Race_2nd","Head_Wife_Status","Paying_Rent_Scale","Fall_Winter_Residence","Summer_Residence","Enrollment_Status","Return_School","Financial_Responsibility_Scale","Own_Bills_Scale","Managing_Money_Scale","Worry_Money","Marital_Status","Help_House","House_Amount","Help_Bills","Bills_Amount","Help_Tuition","Tuition_Amount","Help_Personal_Loan","Help_Personal_Loan_Amount","Help_Personal_Vehicle","Personal_Vehicle_Amount","Help_Rent_Mortgage","Rent_Mortgage_Amount","Gifts_Inheritance","Help_Other","CantAfford_College","Gifts_Inheritance_1","Gifts_Inheritance_2","Gifts_Inheritance_3","Help_Other_Amount","Help_House_Amount_Parents","Help_House_Percent_Parents","Help_Bills_Amount_Parents","Help_Bills_Percent_Parents","Help_Tuition_Amount_Parents","Help_Tuition_Percent_Parents","Help_Student_Loan","Student_Loan_Amount","Help_Student_Loan_Amount_Parents","Help_Student_Loan_Percent_Parents","Help_Personal_Vehicle_Amount_Parents","Help_Personal_Vehicle_Percent_Parents","Help_Rent_Mortgage_Amount_Parents","Help_Rent_Mortgage_Percent_Parents"
1100,2005,1,1,0,3,6,1,1,9,0,5,5,4,7,2,5,0,5,0,1,1000,5,0,1,8500,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2520,2005,2,1,0,3,1,1,1,1,0,5,5,5,4,2,5,0,5,0,5,0,5,0,1,10000,5,0,1700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4706,2005,3,1,0,3,1,1,1,9,0,2,4,4,5,2,5,0,5,0,5,0,5,0,5,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3939,2005,4,2,0,3,1,3,1,9,0,4,3,5,4,2,5,0,1,2000,5,0,5,0,5,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2570,2005,5,1,0,3,3,1,1,3,0,5,5,5,6,2,5,0,5,0,5,0,5,0,5,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6778,2005,6,2,0,3,1,1,1,1,0,4,6,5,1,2,5,0,5,0,5,0,1,100,5,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
161,2005,7,1,0,3,1,1,1,9,0,4,5,5,1,2,5,0,5,0,5,0,5,0,1,37000,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3741,2005,8,1,0,3,1,1,1,9,0,1,5,5,1,2,5,0,1,200,5,0,5,0,5,0,5,0,1500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1304,2005,9,1,0,3,1,1,1,4,1,4,5,4,4,2,5,0,5,0,5,0,5,0,5,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3938,2005,10,1,0,3,1,1,1,9,0,2,1,4,3,2,5,0,1,2000,1,8000,5,0,1,3000,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,2005,11,1,0,3,6,1,1,4,1,4,5,5,2,2,5,0,5,0,1,800,5,0,5,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4611,2005,12,2,0,3,1,1,1,3,0,3,4,5,4,2,5,0,5,0,5,0,5,0,5,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2061,2005,13,1,0,3,1,1,1,9,0,4,5,5,2,2,5,0,1,500,1,3900,5,0,1,8500,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3424,2005,14,2,0,3,6,1,1,1,0,4,4,5,2,2,5,0,5,0,5,0,5,0,5,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7387,2005,15,1,0,3,1,1,1,9,0,2,1,3,2,2,5,0,1,200,1,2000,5,0,1,15000,1,400,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3108,2005,16,1,0,3,4,2,1,9,0,3,4,4,3,2,5,0,5,0,1,4000,5,0,1,1000,1,600,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4236,2005,17,1,0,3,1,1,1,9,0,3,3,5,2,2,5,0,5,0,5,0,1,2000,5,0,1,9999998,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
742,2005,18,1,0,3,5,1,1,9,0,5,5,5,1,2,5,0,5,0,5,0,5,0,5,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6571,2005,19,1,0,3,6,5,97,3,0,5,5,5,7,2,5,0,5,0,5,0,5,0,5,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1519,2005,20,1,0,3,1,1,1,2,0,2,1,5,2,2,5,0,5,0,5,0,5,0,5,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2770,2005,21,1,0,3,3,2,96,9,0,3,4,5,5,2,5,0,1,100,1,20000,1,500,5,0,1,2000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
990,2005,22,1,0,3,1,1,1,9,0,4,5,5,5,2,5,0,1,600,5,0,5,0,5,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3426,2005,23,1,0,3,4,1,1,9,0,3,3,5,2,2,5,0,1,400,5,0,5,0,5,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
892,2005,24,1,0,3,3,1,1,10,0,4,4,5,4,2,5,0,1,1000,5,0,5,0,5,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4917,2005,25,1,0,3,1,1,1,3,0,3,1,4,1,2,5,0,1,3000,5,0,5,0,5,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,2005,26,1,0,3,1,1,1,3,0,4,2,4,4,2,5,0,1,150,5,0,5,0,5,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7055,2005,27,1,0,3,1,1,1,9,0,2,1,5,2,2,1,145000,1,3,1,6000,5,0,5,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4991,2005,28,1,0,3,1,1,1,9,0,2,5,5,2,2,5,0,5,0,1,500,5,0,5,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6289,2005,29,1,0,3,3,5,2,4,1,5,3,5,5,2,5,0,1,5000,5,0,5,0,5,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4060,2005,30,1,0,3,6,3,1,9,0,2,6,5,3,2,5,0,1,3000,1,29000,5,0,5,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7031,2005,31,1,0,3,2,2,1,1,0,4,4,5,7,2,5,0,5,0,5,0,1,2000,1,5000,5,0,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1392,2005,32,1,0,3,6,3,3,9,0,4,4,5,3,2,5,0,5,0,5,0,5,0,5,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
